文（空欄は( )で示す）	答え
Ce n'est pas ( ) cet angle qu'il faut voir le problème.	sous
Cette équipe est qualifiée ( ) la finale.	pour
En vue d'éviter les accidents, chaque cycliste doit recevoir une initiation ( ) la sécurité routière.	à
Je n'ai pas beacoup avancé ( ) mon travail.	dans
Ne parlons pas de ce problème ( ) présence du directeur.	en
Ce restaurant est ouvert seulement ( ) semaine.	en
Il m'a traité ( ) menteur, but ce n'est pas vrai !	de
Nous nous sommes rangés deux ( ) deux dans le cour.	par
On juge trop facilement ( ) les apparences.	sur
( ) nous deux, nous pourrons tout faire.	à
Ce pays a longtemps vécu ( ) domination étrangère avant son indépendance.	sous
Le débat porte en particulier ( ) les expériences nucléaires.	sur
Le produit à l'étude n'a rien à voir ( ) les produits déjà existants.	avec
On a annoncé l'arrivée du train ( ) gare.	en
( ) la différence du Japon, la France est un pays exportateur de produits agricoles.	à
Ces dernières années, ce festival de musique se tourne ( ) le jazz.	vers
C'est un athlète ( ) pair ; il n'a jamais perdu depuis six ans.	hors
Elle n'est pas la seule ( ) se plaindre de ta conduite.	à
La vente de l'entreprise est toujours ( ) négociation.	en
Le peintre a choisi ( ) thème des objets banals.	pour
Ce fruit est très riche ( ) vitamines et minéraux.	en
Il souhaitait ( ) son vivant que ses tableaux soient enterrés avec lui.	de
N'oubliez pas de regarder cette émission ce soir à neuf heures ( ) France 2.	sur
Qu'il est égoïste! Il fait toujours passer son intérêt ( ) celui des autres.	avant
Voulez-vous classer les dossiers ( ) ordre alphabétique ?	par
André a toujours été apprécié ( ) sa gentillesse.	pour
Il ne faut pas manquer ( ) sa promesse.	à
Il sont apparus devant la presse la main ( ) la main.	dans
Nous sommes arrivés au sommet de la montagne, non ( ) difficultés.	sans
Placé ( ) la direction de son jeune chef, l'orchestre a donné une nouvelle interprétation de cette œuvre.	sous
Il manque le certificat médical : ( ) part cela, le dossier est complet.	à
Il n'y a plus que trois jours ( ) le départ.	avant
J'ai oublié mon stylo. Prêtez-moi ( ) quoi écrire.	de
Je suis ( ) contact régulier avec mes anciens collègues.	en
Louis est très égoïste. Il n'agit que ( ) intérêt.	par
Cet article ne s'achète que ( ) douzaine.	par
Ils se passionnent toujours ( ) les questions politiques.	pour
Même les experts font parfois des erreurs ( ) leurs prévisions.	dans
On a échappé ( ) justesse à la guerre.	de
Son jugement s'appuie ( ) une expérience très riche en la matière.	sur
Ce roman sera publié ( ) deux volumes.	en
Elle n'a pas promené son chien ( ) peur d'attraper froid.	de
Le nombre des lecteurs de ce journal diminue ( ) un rythme alarmant.	à
Le parc s'étale ( ) plus de 160 000 mètres carrés.	sur
Sa femme est partie ( ) ne plus revenir.	pour
Après la mort de sa femme, il s'est pris de passion ( ) la peinture.	pour
Ce vieux piano fonctionne encore ( ) la perfection.	à
Ce milliardaire a reconnu son neveu ( ) son héritier.	pour
Il cherche toujours à rejeter la faute ( ) les autres.	sur
Jean a raté son concours. Il est encore ( ) le choc.	sous
Tiens, ta cravate est ( ) travers !	de
Tu veux que je lui parle ? Non merci, ça ne m'arrange ( ) rien.	en
Il me dépasse ( ) loin en talent.	de
Le théâtre est fermé ( ) travaux.	pour
Vous devez m'expliquer ( ) étapes, sinon je n'y comprends rien.	par
( ) toute apparence, c'est Philippe qui a raison.	contre
( ) une croissance de 0,6 %, la France est parmi les premiers pays de la zone euro.	avec
Cette semaine, le temps sera variable ( ) quelques averses.	avec
Mon chien est méchant ( ) l’occasion.	à
On ne doit pas passer ( ) silence ce crime contre la liberté.	sous
Tu as raison, du moins ( ) certains côtés.	par
( ) l’ensemble, l’oral s’est bien passé.	dans
Agit ( ) le coup de l'émotion, ça peut coûter cher!	sous
Elle est insensible ( ) les autres.	envers
Je me bournerai ( ) dire qu'il n'est pas innocent.	à
Notre ville est petite ( ) la taille, but elle est très belle.	par
Victor s'est trompé ( ) les intentions de son père.	sur
Des vêtements ? Je m'en achèterai ( ) nouveaux.	de
J'épargne ( ) mes dépenses de nourriture pour déménager.	sur
Julien t'expliquera ( ) détail le fonctionnement du système de sécurité.	en
Les journalistes ont fait le parallèle ( ) les deux attentats.	entre
Lors des exercices, les soldats se mettent ( ) plat ventre.	à
A cause du soleil, les rideaux ont changé ( ) couleur.	de
Béatrice a eu ces chaussures ( ) presque rien.	pour
Ils ont soulevé la voiture ( ) plusieurs pour la déplacer.	à
Ma soeur est ( ) l'incertitude la plus complète sur ce qu'elle fera plus tard.	dans
On l'a crue ( ) parole but on a eu bien tort.	sur
De nos jours, beaucoup de jeunes et de moins jeunes exposent leur vie ( ) ligne.	en
Irène est partie il y a un an, jour ( ) jour.	pour
Je n'ai pas pu payer mon billet d'avion, parce que j'étais ( ) court d'argent.	à
L'augmentation des impôts varie ( ) les cas.	selon
Les policiers mènent une enquête ( ) les lieux du meutre.	sur
Antoine vient manger chez moi tous les jours ( ) la moindre gêne.	sans
Il a ri ( ) la forme : en réalité il n'était pas du tout content.	pour
La nouvelle proposition est pire que la précédente ( ) certains côtés.	par
Les travaux se feront ( ) cinq étapes.	en
Ma position était difficilement supportable. Il me fallait en sortir ( ) tout prix.	à
Je compte Arnaud ( ) mes amis.	parmi
Le malfaiteur s'est enfui ( ) toute vitesse.	à
L'impôt ( ) le revenu est de plus en plus lourd.	sur
Tu peux lui offrir n'importe quelles fleurs ( ) des roses.	sauf
Voyez-vous ces documentes entassés ( ) pile dans son bureau ?	en
Ce thé a un goût bien ( ) lui.	à
Il vaudrait mieux ne pas l'attaquer ( ) front.	de
Le directeur a contacté Julien pour entrer ( ) affaires avec lui.	en
Pourquoi jugez-vous les gens ( ) leur mine ?	sur
Sarah s'est aperçue de cette erreur ( ) coup.	après
Au niveau du financement, notre équipe a l'avantage ( ) la vôtre.	sur
Ce n'est qu'un exemple ( ) d'autres.	parmi
C'est ( ) centaines que les touristes se rendent dans ce petit village.	Par
Elle faut régulièrement un don pour protéger les animaux ( ) péril.	en
J'ai rencontré mon voisin ( ) palier par hasard dans le parc.	de
Aujourd'hui, au sud de la Loire, la température atteint ( ) endroits 40 degrés.	par
Il a refusé de répondre, en se retranchant ( ) le secret professionnel.	derrière
Je travaille ( ) l'année dans cette usine.	à l'année
Mon patriotisme ne le cède ( ) rien au vôtre.	en
Ayant triché ( ) le fisc, le député a démissionné hier.	avec
Cette robe doit coûter ( ) les deux mille euros.	dans
Il est comme un saint. Il rend toujours le bien ( ) le mal.	pour
Le Directeur ne reçoit que ( ) rendez-vous.	sur
Ça fait longtemps qu'il économise ( ) son petit salaire pour se marier.	sur
Je crains que vous couriez ( ) l'échec.	à
La formation des assistantes maternelles est très inégale ( ) les endroits.	selon
Vous auriez dû vous assurer ( ) les accidents de voiture.	contre
C'est un lieu magnifique ( ) qui aime réfléchir tout seul.	pour
Mettons les deux textes ( ) regard.	en
Nous sommes tous tenus ( ) la discrétion.	à
Qu'importe cette difficulté ( ) tant d'avantages !	devant
Jeanne, tu peux couper ce gâteau ( ) moitié, s'il te plaît !	par
Le président vous accueillera ( ) bras ouvert.	à
Mon fils est porté ( ) la boisson et je suis inquiète.	sur
( ) les circonstances, ils ne devraient pas vendre leurs actions.	Vu
Cet écrivain vit ( ) sa plume but très mal.	de
Il faut que vous soyez gentil avec lui, juste ( ) le geste.	pour
Mon ordinateur est très lent ( ) moments.	par
Son père a commencé le russe ( ) le tard : il avait 52 ans.	sur
Ils ont arrêté leur choix ( ) le prénom Claude pour leur bébé.	sur
Je te prends ( ) témoin de mon innocence.	à
L'activité manufacturière a renoué ( ) la croissance en 2016.	avec
Sa sœur a échoué ( ) excès de confiance.	par