décrire	描写する、説明する
apaiser	和らげる、鎮める
contenir	制御する、含む、抑える
approuver	承認する、賛成する
exécuter	処刑する、実行する
interpréter	演じる、演奏する、解釈する
susciter	喚起する、引き起こす
scruter	探る、詮索する
doubler	倍にする、追い越す
renfermer	内包する、閉じ込める
commémorer	偲ぶ、記念する
trahir	漏らす、裏切る
prendre le large	逃げ出す
diligenter	急がせる、迅速に処理する
intégrer	加入する、統合する
endosser	（服を）着る、（責任を）負う
immatriculer	登録する（車両など）
revêtir	まとう、着る、（役職に）就く
inculper qqn de	～の罪で告発する
suspendre	一時停止する、中断する、吊るす
émerger	浮上する、現れる
inclure	含む
obtenir	得る、獲得する
lancer un appel	呼びかける
matérialiser	具体化する、具現化する
fuir	漏れる、逃げる
presser qqn de inf.	～に…するよう急がせる
décentrer	中心からずらす
affliger	悲しませる、苦しめる
raviver	よみがえらせる、再び活気づける
convenir	同意する、適合する
rallier	加わる、結集させる
alimenter	供給する、養う
diverger	分岐する、対立する
stimuler	促進する、刺激する
localiser	位置を特定する、局限する
renforcer	強化する
entourer	取り囲む、囲む
ravager	荒廃させる
pressentir	予感する、内々に打診する
pourvoir	供給する、満たす
altérer	変質させる、悪化させる
dégénérer	変質する、悪化する
échouer	失敗する、座礁する
contrer	反対する、対抗する、阻止する
justifier	正当化する、根拠づける
braconner	密猟する
contracter	契約する、（病気に）かかる
entreposer	保管する、倉庫に入れる
orchestrer	巧みに計画する、指揮する
retoucher	修正する